question,answer
adakah uitm berhak membatalkan surat tawaran,"Ya. Pihak UiTM berhak membatalkan tawaran yang telah dikeluarkan sekiranya didapati : 
1. Anda tidak memenuhi syarat kelayakan masuk. Anda dinasihatkan meneliti kelayakan masuk sebelum datang mendaftar
2. Anda mengemukakan maklumat/dokumen palsu semasa permohonan kemasukan/pendaftaran
3. Anda gagal melapor diri pada tarikh dan masa yang telah ditetapkan
4. Anda mempunyai kesan penggunaan dadah (tawaran ini tertakluk kepada keputusan ujian air kencing yang akan diadakan selama tempoh pengajian)
5. Anda tidak menamatkan pengajian pada tarikh pendaftaran serta tidak memenuhi syarat kelayakan minimum yang ditetapkan oleh UiTM bagi pelajar-pelajar tahun akhir Sijil/Diploma/Ijazah Sarjana Muda dari IPT untuk mengikuti program Diploma/Ijazah Sarjana Muda
6. Anda BUKAN BUMIPUTERA seperti yang ditakrifkan dalam perkara 160 (2) atau dalam perkara 161 a (6) (a) atau perkara 161 a (6) (b) berdasarkan Perlembagaan Persekutuan bagi urusan pemprosesan dan pemilihan kemasukan ke IPTA."
sekiranya surat tawaran saya dibatalkan dan saya telah mengeluarkan perbelanjaan,Segala perbelanjaan yang timbul bersabit dengan pembatalan tawaran ini TIDAK akan ditanggung oleh UiTM
apakah akan terjadi sekiranya saya menarik diri selepas mendaftar?,"Pelajar yang telah mendaftar dan kemudian menarik diri sebagai pelajar, yuran pengajian anda TIDAK DIKEMBALIKAN."
bolehkah saya menarik diri selepas mendaftar,"Pelajar yang telah mendaftar dan kemudian menarik diri sebagai pelajar, yuran pengajian anda TIDAK DIKEMBALIKAN."
saya nak tarik diri,"Pelajar yang telah mendaftar dan kemudian menarik diri sebagai pelajar, yuran pengajian anda TIDAK DIKEMBALIKAN."
adakah saya boleh memohon pertukaran program atau kampus,Tidak. Program dan kampus yang ditawarkan adalah muktamad. Sebarang permohonan pertukaran TIDAK DIBENARKAN.
saya nak tukar kampus,Program dan kampus yang ditawarkan adalah muktamad. Sebarang permohonan pertukaran TIDAK DIBENARKAN.
bolehkah saya menukar kampus,Tidak. Program dan kampus yang ditawarkan adalah muktamad. Sebarang permohonan pertukaran TIDAK DIBENARKAN.
saya nak tukar program,Program dan kampus yang ditawarkan adalah muktamad. Sebarang permohonan pertukaran TIDAK DIBENARKAN.
macam mana saya nak tukar kampus,Program dan kampus yang ditawarkan adalah muktamad. Sebarang permohonan pertukaran TIDAK DIBENARKAN.
macam mana saya nak tukar program,Program dan kampus yang ditawarkan adalah muktamad. Sebarang permohonan pertukaran TIDAK DIBENARKAN.
apakah akan terjadi sekiranya saya mendaftar lewat,"Tawaran adalah terbatal sekiranya calon tidak mendaftar pada tarikh dan masa yang ditetapkan. Walaubagaimanapun calon-calon yang terpaksa mendaftar lewat seperti ketiadaan tiket kapal terbang (calon Sabah dan Sarawak), sila maklumkan melalui email ke alamat bpp@salam.uitm.edu.my atau secara bersurat kepada Ketua Bahagian Pengambilan Pelajar (bagi calon yang mendaftar di kampus Shah Alam) atau Rektor Kampus Negeri berkenaan (bagi pelajar yang mendaftar di Kampus Negeri).Bagi calon-calon yang menerima surat tawaran selepas tarikh pendaftaran, sila hubungi Bahagian Pengambilan Pelajar dengan segera."
kalau saya tak mendaftar pada tarikh ditetapkan,"Tawaran adalah terbatal sekiranya calon tidak mendaftar pada tarikh dan masa yang ditetapkan. Walaubagaimanapun calon-calon yang terpaksa mendaftar lewat seperti ketiadaan tiket kapal terbang (calon Sabah dan Sarawak), sila maklumkan melalui email ke alamat bpp@salam.uitm.edu.my atau secara bersurat kepada Ketua Bahagian Pengambilan Pelajar (bagi calon yang mendaftar di kampus Shah Alam) atau Rektor Kampus Negeri berkenaan (bagi pelajar yang mendaftar di Kampus Negeri).Bagi calon-calon yang menerima surat tawaran selepas tarikh pendaftaran, sila hubungi Bahagian Pengambilan Pelajar dengan segera."
bolehkah saya mendaftar lewat,"Tawaran adalah terbatal sekiranya calon tidak mendaftar pada tarikh dan masa yang ditetapkan. Walaubagaimanapun calon-calon yang terpaksa mendaftar lewat seperti ketiadaan tiket kapal terbang (calon Sabah dan Sarawak), sila maklumkan melalui email ke alamat bpp@salam.uitm.edu.my atau secara bersurat kepada Ketua Bahagian Pengambilan Pelajar (bagi calon yang mendaftar di kampus Shah Alam) atau Rektor Kampus Negeri berkenaan (bagi pelajar yang mendaftar di Kampus Negeri).Bagi calon-calon yang menerima surat tawaran selepas tarikh pendaftaran, sila hubungi Bahagian Pengambilan Pelajar dengan segera."
bagaimana tawaran boleh terbatal,"Tawaran adalah terbatal sekiranya calon tidak mendaftar pada tarikh dan masa yang ditetapkan. Walaubagaimanapun calon-calon yang terpaksa mendaftar lewat seperti ketiadaan tiket kapal terbang (calon Sabah dan Sarawak), sila maklumkan melalui email ke alamat bpp@salam.uitm.edu.my atau secara bersurat kepada Ketua Bahagian Pengambilan Pelajar (bagi calon yang mendaftar di kampus Shah Alam) atau Rektor Kampus Negeri berkenaan (bagi pelajar yang mendaftar di Kampus Negeri).Bagi calon-calon yang menerima surat tawaran selepas tarikh pendaftaran, sila hubungi Bahagian Pengambilan Pelajar dengan segera."
macam mana tawaran boleh terbatal,"Tawaran adalah terbatal sekiranya calon tidak mendaftar pada tarikh dan masa yang ditetapkan. Walaubagaimanapun calon-calon yang terpaksa mendaftar lewat seperti ketiadaan tiket kapal terbang (calon Sabah dan Sarawak), sila maklumkan melalui email ke alamat bpp@salam.uitm.edu.my atau secara bersurat kepada Ketua Bahagian Pengambilan Pelajar (bagi calon yang mendaftar di kampus Shah Alam) atau Rektor Kampus Negeri berkenaan (bagi pelajar yang mendaftar di Kampus Negeri).Bagi calon-calon yang menerima surat tawaran selepas tarikh pendaftaran, sila hubungi Bahagian Pengambilan Pelajar dengan segera."
tawaran boleh terbatal ke,"Tawaran adalah terbatal sekiranya calon tidak mendaftar pada tarikh dan masa yang ditetapkan. Walaubagaimanapun calon-calon yang terpaksa mendaftar lewat seperti ketiadaan tiket kapal terbang (calon Sabah dan Sarawak), sila maklumkan melalui email ke alamat bpp@salam.uitm.edu.my atau secara bersurat kepada Ketua Bahagian Pengambilan Pelajar (bagi calon yang mendaftar di kampus Shah Alam) atau Rektor Kampus Negeri berkenaan (bagi pelajar yang mendaftar di Kampus Negeri).Bagi calon-calon yang menerima surat tawaran selepas tarikh pendaftaran, sila hubungi Bahagian Pengambilan Pelajar dengan segera."
adakah saya perlu menandatangani akujanji,Ya. Semua pelajar baru diwajibkan menandatangani Surat Akujanji semasa Minggu Destini Siswa.
wajib ke tandatangan surat akujanji,Ya. Semua pelajar baru diwajibkan menandatangani Surat Akujanji semasa Minggu Destini Siswa.
bila kena tandatangan surat akujanji,Semua pelajar baru diwajibkan menandatangani Surat Akujanji semasa Minggu Destini Siswa.
adakah saya boleh membawa kereta,Tidak. Ketetapan telah dibuat oleh Hal Ehwal Pelajar (HEP) bahawa semua pelajar baru yang mendapat kemudahan kolej kediaman dilarang membawa kenderaan sendiri di dalam kampus. Pelekat kenderaan tidak akan dikeluarkan kepada pelajar-pelajar ini.
nak bawa kereta boleh tak,Tidak. Ketetapan telah dibuat oleh Hal Ehwal Pelajar (HEP) bahawa semua pelajar baru yang mendapat kemudahan kolej kediaman dilarang membawa kenderaan sendiri di dalam kampus. Pelekat kenderaan tidak akan dikeluarkan kepada pelajar-pelajar ini.
bolehkah saya membawa kereta,Tidak. Ketetapan telah dibuat oleh Hal Ehwal Pelajar (HEP) bahawa semua pelajar baru yang mendapat kemudahan kolej kediaman dilarang membawa kenderaan sendiri di dalam kampus. Pelekat kenderaan tidak akan dikeluarkan kepada pelajar-pelajar ini.
borang yang perlu dilengkapkan,"Sebelum hari pendaftaran, anda perlu lengkapkan semua borang yang disertakan di dalam Panduan Pendaftaran iaitu :
1. Borang Pendaftaran Pelajar Baru Sepenuh Masa
2. Borang Maklumat Pelajar Baru
3. Laporan Pemeriksaan Kesihatan
4. Borang Pengesahan Akuan Pendapatan"
borang apa yang perlu saya lengkapkan sebelum hari pendaftaran,"Sebelum hari pendaftaran, anda perlu lengkapkan semua borang yang disertakan di dalam Panduan Pendaftaran iaitu :
1. Borang Pendaftaran Pelajar Baru Sepenuh Masa
2. Borang Maklumat Pelajar Baru
3. Laporan Pemeriksaan Kesihatan
4. Borang Pengesahan Akuan Pendapatan"
senarai borang yang perlu dilengkapkan sebelum hari pendaftaran,"Sebelum hari pendaftaran, anda perlu lengkapkan semua borang yang disertakan di dalam Panduan Pendaftaran iaitu :
1. Borang Pendaftaran Pelajar Baru Sepenuh Masa
2. Borang Maklumat Pelajar Baru
3. Laporan Pemeriksaan Kesihatan
4. Borang Pengesahan Akuan Pendapatan"
bagaimana saya perlu menjelaskan bil bayaran yuran,"1. Bil bayaran yuran pelajar perlu dijelaskan di mana-mana cawangan Bank Islam di seluruh Malaysia sebelum anda mendaftar. Bagi yang mendaftar di kampus UiTM Shah Alam bayaran boleh juga dibuat terus melalui kad kredit utama
2. Kaunter Bank Islam TIDAK disediakan pada hari pendaftaran
3. Sila pastikan anda membawa bil bayaran yuran pelajar yang telah dicetak oleh bank apabila datang mendaftar bagi mengelak sebarang masalah semasa pendaftaran
4. Anda dinasihatkan menyimpan bil ini dengan baik sehingga menamatkan pengajian
5. Anda digalakkan membuat bayaran sebelum hari pendaftaran untuk mengelakkan sebarang kesulitan"
cara untuk membayar yuran ,"1. Bil bayaran yuran pelajar perlu dijelaskan di mana-mana cawangan Bank Islam di seluruh Malaysia sebelum anda mendaftar. Bagi yang mendaftar di kampus UiTM Shah Alam bayaran boleh juga dibuat terus melalui kad kredit utama
2. Kaunter Bank Islam TIDAK disediakan pada hari pendaftaran
3. Sila pastikan anda membawa bil bayaran yuran pelajar yang telah dicetak oleh bank apabila datang mendaftar bagi mengelak sebarang masalah semasa pendaftaran
4. Anda dinasihatkan menyimpan bil ini dengan baik sehingga menamatkan pengajian
5. Anda digalakkan membuat bayaran sebelum hari pendaftaran untuk mengelakkan sebarang kesulitan"
macam mana saya nak bayar yuran,"1. Bil bayaran yuran pelajar perlu dijelaskan di mana-mana cawangan Bank Islam di seluruh Malaysia sebelum anda mendaftar. Bagi yang mendaftar di kampus UiTM Shah Alam bayaran boleh juga dibuat terus melalui kad kredit utama
2. Kaunter Bank Islam TIDAK disediakan pada hari pendaftaran
3. Sila pastikan anda membawa bil bayaran yuran pelajar yang telah dicetak oleh bank apabila datang mendaftar bagi mengelak sebarang masalah semasa pendaftaran
4. Anda dinasihatkan menyimpan bil ini dengan baik sehingga menamatkan pengajian
5. Anda digalakkan membuat bayaran sebelum hari pendaftaran untuk mengelakkan sebarang kesulitan"
tatacara pembayaran yuran,"1. Bil bayaran yuran pelajar perlu dijelaskan di mana-mana cawangan Bank Islam di seluruh Malaysia sebelum anda mendaftar. Bagi yang mendaftar di kampus UiTM Shah Alam bayaran boleh juga dibuat terus melalui kad kredit utama
2. Kaunter Bank Islam TIDAK disediakan pada hari pendaftaran
3. Sila pastikan anda membawa bil bayaran yuran pelajar yang telah dicetak oleh bank apabila datang mendaftar bagi mengelak sebarang masalah semasa pendaftaran
4. Anda dinasihatkan menyimpan bil ini dengan baik sehingga menamatkan pengajian
5. Anda digalakkan membuat bayaran sebelum hari pendaftaran untuk mengelakkan sebarang kesulitan"
macam mana saya nak bayar yuran guna mesin atm,"Untuk pembayaran menggunakan mesin ATM, anda perlu mempunyai akaun dengan BIMB dan Kad ATM (tidak semestinya pelajar). Semasa di mesin tersebut, pilih Menu > Lain > Pembayaran Bil / Yuran IPT. Kemudian, masukkan > No. Kad Pengenalan Pelajar, pilih > Bil Anda & > Masukkan Amaun Yang BetuL. Setelah selesai, sila simpan resit anda."
bagaimana saya hendak membayar yuran menggunakan mesin atm,"Untuk pembayaran menggunakan mesin ATM, anda perlu mempunyai akaun dengan BIMB dan Kad ATM (tidak semestinya pelajar). Semasa di mesin tersebut, pilih Menu > Lain > Pembayaran Bil / Yuran IPT. Kemudian, masukkan > No. Kad Pengenalan Pelajar, pilih > Bil Anda & > Masukkan Amaun Yang BetuL. Setelah selesai, sila simpan resit anda."
cara pembayaran yuran menggunakan mesin atm,"Untuk pembayaran menggunakan mesin ATM, anda perlu mempunyai akaun dengan BIMB dan Kad ATM (tidak semestinya pelajar). Semasa di mesin tersebut, pilih Menu > Lain > Pembayaran Bil / Yuran IPT. Kemudian, masukkan > No. Kad Pengenalan Pelajar, pilih > Bil Anda & > Masukkan Amaun Yang BetuL. Setelah selesai, sila simpan resit anda."
garis panduan pembayaran yuran menggunakan mesin atm,"Untuk pembayaran menggunakan mesin ATM, anda perlu mempunyai akaun dengan BIMB dan Kad ATM (tidak semestinya pelajar). Semasa di mesin tersebut, pilih Menu > Lain > Pembayaran Bil / Yuran IPT. Kemudian, masukkan > No. Kad Pengenalan Pelajar, pilih > Bil Anda & > Masukkan Amaun Yang BetuL. Setelah selesai, sila simpan resit anda."
bagaimana saya hendak membayar yuran menggunakan perbankan internet,"Untuk pembayaran menggunakan perbankan internet (online), layari www.bankislam.com.my. Klik butang ""Login How"" pada logo bankislam.biz dan tekan ""OK"". Kemudian, masukkan ID pengguna dan kata laluan untuk memasuki bankislam.biz. Pilih ""Bill Presentment"" pada bahagian ""Bill Payment"" dan pilih ""Universiti Teknologi MARA"" pada bahagian senarai penyedia perkhidmatan. Klik butang ""Next"". Skrin berikutnya akan menunjukkan senarai Bil yang perlu dijelaskan oleh pelajar. Seterusnya, pilih Bil yang hendak dibayar. Klik butang ""Pay"". Skrin berikutnya akan menunjukkan butiran pembayaran seperti nama pelajar, nombor pelajar, nombor bil dan amaun yang perlu dibayar. Pilih sumber akaun untuk membuat pembayaran dan klik butang ""Pay"" untuk meneruskan pembayaran. Skrin berikutnya akan menunjukkan butiran pembayaran yang hendak dibayar sebelum pengesahan dibuat. Klik butang ""Confirm"" untuk mengesahkan pembayaran atau sebaliknya. Skrin pengesahan pembayaran akan dipaparkan beserta nombor rujukan. Pelanggan adalah dinasihatkan untuk mencetak pembayaran yang telah dibuat sebagai rujukan."
macam mana saya nak bayar yuran guna perbankan internet,"Untuk pembayaran menggunakan perbankan internet (online), layari www.bankislam.com.my. Klik butang ""Login How"" pada logo bankislam.biz dan tekan ""OK"". Kemudian, masukkan ID pengguna dan kata laluan untuk memasuki bankislam.biz. Pilih ""Bill Presentment"" pada bahagian ""Bill Payment"" dan pilih ""Universiti Teknologi MARA"" pada bahagian senarai penyedia perkhidmatan. Klik butang ""Next"". Skrin berikutnya akan menunjukkan senarai Bil yang perlu dijelaskan oleh pelajar. Seterusnya, pilih Bil yang hendak dibayar. Klik butang ""Pay"". Skrin berikutnya akan menunjukkan butiran pembayaran seperti nama pelajar, nombor pelajar, nombor bil dan amaun yang perlu dibayar. Pilih sumber akaun untuk membuat pembayaran dan klik butang ""Pay"" untuk meneruskan pembayaran. Skrin berikutnya akan menunjukkan butiran pembayaran yang hendak dibayar sebelum pengesahan dibuat. Klik butang ""Confirm"" untuk mengesahkan pembayaran atau sebaliknya. Skrin pengesahan pembayaran akan dipaparkan beserta nombor rujukan. Pelanggan adalah dinasihatkan untuk mencetak pembayaran yang telah dibuat sebagai rujukan."
cara pembayaran yuran menggunakan perbankan internet,"Untuk pembayaran menggunakan perbankan internet (online), layari www.bankislam.com.my. Klik butang ""Login How"" pada logo bankislam.biz dan tekan ""OK"". Kemudian, masukkan ID pengguna dan kata laluan untuk memasuki bankislam.biz. Pilih ""Bill Presentment"" pada bahagian ""Bill Payment"" dan pilih ""Universiti Teknologi MARA"" pada bahagian senarai penyedia perkhidmatan. Klik butang ""Next"". Skrin berikutnya akan menunjukkan senarai Bil yang perlu dijelaskan oleh pelajar. Seterusnya, pilih Bil yang hendak dibayar. Klik butang ""Pay"". Skrin berikutnya akan menunjukkan butiran pembayaran seperti nama pelajar, nombor pelajar, nombor bil dan amaun yang perlu dibayar. Pilih sumber akaun untuk membuat pembayaran dan klik butang ""Pay"" untuk meneruskan pembayaran. Skrin berikutnya akan menunjukkan butiran pembayaran yang hendak dibayar sebelum pengesahan dibuat. Klik butang ""Confirm"" untuk mengesahkan pembayaran atau sebaliknya. Skrin pengesahan pembayaran akan dipaparkan beserta nombor rujukan. Pelanggan adalah dinasihatkan untuk mencetak pembayaran yang telah dibuat sebagai rujukan."
garis panduan pembayaran yuran menggunakan perbankan internet,"Untuk pembayaran menggunakan perbankan internet (online), layari www.bankislam.com.my. Klik butang ""Login How"" pada logo bankislam.biz dan tekan ""OK"". Kemudian, masukkan ID pengguna dan kata laluan untuk memasuki bankislam.biz. Pilih ""Bill Presentment"" pada bahagian ""Bill Payment"" dan pilih ""Universiti Teknologi MARA"" pada bahagian senarai penyedia perkhidmatan. Klik butang ""Next"". Skrin berikutnya akan menunjukkan senarai Bil yang perlu dijelaskan oleh pelajar. Seterusnya, pilih Bil yang hendak dibayar. Klik butang ""Pay"". Skrin berikutnya akan menunjukkan butiran pembayaran seperti nama pelajar, nombor pelajar, nombor bil dan amaun yang perlu dibayar. Pilih sumber akaun untuk membuat pembayaran dan klik butang ""Pay"" untuk meneruskan pembayaran. Skrin berikutnya akan menunjukkan butiran pembayaran yang hendak dibayar sebelum pengesahan dibuat. Klik butang ""Confirm"" untuk mengesahkan pembayaran atau sebaliknya. Skrin pengesahan pembayaran akan dipaparkan beserta nombor rujukan. Pelanggan adalah dinasihatkan untuk mencetak pembayaran yang telah dibuat sebagai rujukan."
bagaimana saya hendak membayar yuran menggunakan fpx,"Untuk pembayaran menggunakan sistem FPX, pelajar perlu layari http://bursary.uitm.edu.my/bilpelajar dan klik logo MEPS. Skrin berikutnya akan memaparkan Disclaimer Page, sila klik butang ""I Agree"" untuk melakukan proses pembayaran bil secara online dan masukkan Nombor Pelajar dan Nombor Kad Pengenalan dan klik ""Search"". Senarai Bil akan dipaparkan di skrin berikutnya.Klik pada petak di sebelah kiri untuk memilih bil-bil yang ingin dibayar dan klik ""View Cart"". Klik butang ""Pay"" untuk membuat pembayaran. Skrin seterusnya akan memaparkan ""FPX terms and condition page"". Sila klik di sebelah kiri ""I accept the Terms & Conditions of FPX, as listed above"". Masukkan alamat email serta pilih Bank anda dan klik ""Submit"". Masukkan ID pengguna dan kata laluan untuk memasuki laman web Bank pilihan anda. Maklumat mengenai bayaran akan dipaparkan seperti tujuan pembayaran, nombor rujukan dan amaun. Klik butang ""Pay"" untuk meneruskan pembayaran. Skrin berikutnya akan menunjukkan butiran pembayaran yang hendak dibayar sebelum pengesahan dibuat. Klik butang ""Confirm"" untuk mengesahkan pembayaran atau sebaliknya. Skrin pengesahan pembayaran akan dipaparkan beserta nombor rujukan. Pelajar dinasihatkan untuk mencetak pembayaran yang telah dibuat sebagai rujukan. Pelajar bolehlah mencetak resit yang dikeluarkan oleh pihak UiTM sebagai bukti pembayaran."
macam mana saya nak bayar yuran guna fpx,"Untuk pembayaran menggunakan sistem FPX, pelajar perlu layari http://bursary.uitm.edu.my/bilpelajar dan klik logo MEPS. Skrin berikutnya akan memaparkan Disclaimer Page, sila klik butang ""I Agree"" untuk melakukan proses pembayaran bil secara online dan masukkan Nombor Pelajar dan Nombor Kad Pengenalan dan klik ""Search"". Senarai Bil akan dipaparkan di skrin berikutnya.Klik pada petak di sebelah kiri untuk memilih bil-bil yang ingin dibayar dan klik ""View Cart"". Klik butang ""Pay"" untuk membuat pembayaran. Skrin seterusnya akan memaparkan ""FPX terms and condition page"". Sila klik di sebelah kiri ""I accept the Terms & Conditions of FPX, as listed above"". Masukkan alamat email serta pilih Bank anda dan klik ""Submit"". Masukkan ID pengguna dan kata laluan untuk memasuki laman web Bank pilihan anda. Maklumat mengenai bayaran akan dipaparkan seperti tujuan pembayaran, nombor rujukan dan amaun. Klik butang ""Pay"" untuk meneruskan pembayaran. Skrin berikutnya akan menunjukkan butiran pembayaran yang hendak dibayar sebelum pengesahan dibuat. Klik butang ""Confirm"" untuk mengesahkan pembayaran atau sebaliknya. Skrin pengesahan pembayaran akan dipaparkan beserta nombor rujukan. Pelajar dinasihatkan untuk mencetak pembayaran yang telah dibuat sebagai rujukan. Pelajar bolehlah mencetak resit yang dikeluarkan oleh pihak UiTM sebagai bukti pembayaran."
bagaimana saya hendak membayar yuran menggunakan fpx,"Untuk pembayaran menggunakan sistem FPX, pelajar perlu layari http://bursary.uitm.edu.my/bilpelajar dan klik logo MEPS. Skrin berikutnya akan memaparkan Disclaimer Page, sila klik butang ""I Agree"" untuk melakukan proses pembayaran bil secara online dan masukkan Nombor Pelajar dan Nombor Kad Pengenalan dan klik ""Search"". Senarai Bil akan dipaparkan di skrin berikutnya.Klik pada petak di sebelah kiri untuk memilih bil-bil yang ingin dibayar dan klik ""View Cart"". Klik butang ""Pay"" untuk membuat pembayaran. Skrin seterusnya akan memaparkan ""FPX terms and condition page"". Sila klik di sebelah kiri ""I accept the Terms & Conditions of FPX, as listed above"". Masukkan alamat email serta pilih Bank anda dan klik ""Submit"". Masukkan ID pengguna dan kata laluan untuk memasuki laman web Bank pilihan anda. Maklumat mengenai bayaran akan dipaparkan seperti tujuan pembayaran, nombor rujukan dan amaun. Klik butang ""Pay"" untuk meneruskan pembayaran. Skrin berikutnya akan menunjukkan butiran pembayaran yang hendak dibayar sebelum pengesahan dibuat. Klik butang ""Confirm"" untuk mengesahkan pembayaran atau sebaliknya. Skrin pengesahan pembayaran akan dipaparkan beserta nombor rujukan. Pelajar dinasihatkan untuk mencetak pembayaran yang telah dibuat sebagai rujukan. Pelajar bolehlah mencetak resit yang dikeluarkan oleh pihak UiTM sebagai bukti pembayaran."
cara pembayaran yuran menggunakan fpx,"Untuk pembayaran menggunakan sistem FPX, pelajar perlu layari http://bursary.uitm.edu.my/bilpelajar dan klik logo MEPS. Skrin berikutnya akan memaparkan Disclaimer Page, sila klik butang ""I Agree"" untuk melakukan proses pembayaran bil secara online dan masukkan Nombor Pelajar dan Nombor Kad Pengenalan dan klik ""Search"". Senarai Bil akan dipaparkan di skrin berikutnya.Klik pada petak di sebelah kiri untuk memilih bil-bil yang ingin dibayar dan klik ""View Cart"". Klik butang ""Pay"" untuk membuat pembayaran. Skrin seterusnya akan memaparkan ""FPX terms and condition page"". Sila klik di sebelah kiri ""I accept the Terms & Conditions of FPX, as listed above"". Masukkan alamat email serta pilih Bank anda dan klik ""Submit"". Masukkan ID pengguna dan kata laluan untuk memasuki laman web Bank pilihan anda. Maklumat mengenai bayaran akan dipaparkan seperti tujuan pembayaran, nombor rujukan dan amaun. Klik butang ""Pay"" untuk meneruskan pembayaran. Skrin berikutnya akan menunjukkan butiran pembayaran yang hendak dibayar sebelum pengesahan dibuat. Klik butang ""Confirm"" untuk mengesahkan pembayaran atau sebaliknya. Skrin pengesahan pembayaran akan dipaparkan beserta nombor rujukan. Pelajar dinasihatkan untuk mencetak pembayaran yang telah dibuat sebagai rujukan. Pelajar bolehlah mencetak resit yang dikeluarkan oleh pihak UiTM sebagai bukti pembayaran."
garis panduan pembayaran yuran menggunakan fpx,"Untuk pembayaran menggunakan sistem FPX, pelajar perlu layari http://bursary.uitm.edu.my/bilpelajar dan klik logo MEPS. Skrin berikutnya akan memaparkan Disclaimer Page, sila klik butang ""I Agree"" untuk melakukan proses pembayaran bil secara online dan masukkan Nombor Pelajar dan Nombor Kad Pengenalan dan klik ""Search"". Senarai Bil akan dipaparkan di skrin berikutnya.Klik pada petak di sebelah kiri untuk memilih bil-bil yang ingin dibayar dan klik ""View Cart"". Klik butang ""Pay"" untuk membuat pembayaran. Skrin seterusnya akan memaparkan ""FPX terms and condition page"". Sila klik di sebelah kiri ""I accept the Terms & Conditions of FPX, as listed above"". Masukkan alamat email serta pilih Bank anda dan klik ""Submit"". Masukkan ID pengguna dan kata laluan untuk memasuki laman web Bank pilihan anda. Maklumat mengenai bayaran akan dipaparkan seperti tujuan pembayaran, nombor rujukan dan amaun. Klik butang ""Pay"" untuk meneruskan pembayaran. Skrin berikutnya akan menunjukkan butiran pembayaran yang hendak dibayar sebelum pengesahan dibuat. Klik butang ""Confirm"" untuk mengesahkan pembayaran atau sebaliknya. Skrin pengesahan pembayaran akan dipaparkan beserta nombor rujukan. Pelajar dinasihatkan untuk mencetak pembayaran yang telah dibuat sebagai rujukan. Pelajar bolehlah mencetak resit yang dikeluarkan oleh pihak UiTM sebagai bukti pembayaran."
bagaimana saya boleh membayar yuran,"Anda boleh membayar yuran dengan menggunakan Mesin ATM, secara atas talian ataupun dengan menggunakan system FPX"
adakah saya perlu menjalani pemeriksaan kesihatan,"Anda perlu menjalani pemeriksaan kesihatan di klinik kerajaan / swasta dengan tanggungan sendiri sebelum mendaftar sebagai pelajar UiTM. Sekiranya tidak berkesempatan, anda dibenarkan membuat pemeriksaan kesihatan dalam tempoh tiga (3) minggu selepas tarikh pendaftaran."
adakah saya perlu mengambil suntikan typhoid,Suntikan Typhoid adalah diwajibkan kepada semua pelajar baru Fakulti Pengurusan Hotel Dan Pelancongan kecuali yang akan mengikuti program Diploma dan Ijazah Sarjana Muda Pengurusan Pelancongan. Suntikan hanya perlu dilakukan sekali sahaja untuk tempoh pengajian tiga (3) tahun dengan tanggungan sendiri sebelum mendaftar sebagai pelajar UiTM
"adakah saya perlu mengambil pemeriksaan hepatitis b dan c, hiv serta rabun/buta warna","Pemeriksaan Hepatitis B dan C serta HIV diwajibkan bagi pelajar Program Perubatan dan Pembedahan, Pergigian, Kejururawatan dan Teknologi Makmal Perubatan sebelum mendaftar sebagai pelajar UiTM. Bagi pelajar yang menghidap Hepatitis B dan C serta rabun / buta warna , pihak UiTM akan menawarkan program lain yang bersesuaian dengan kelayakan. Segala kos perbelanjaan ditanggung sendiri oleh pelajar"
adakah saya perlu membawa gambar,Anda diminta menyediakan lapan (8) keping gambar berukuran pasport
bantu saya menyediakan keperluan peribadi,"Baik. Persiapan Keperluan Peribadi Siswa/Siswi adalah seperti berikut :
1. Duit Saku yang mencukupi (membeli keperluan harian, peralatan kuliah dan buku)
2. Bantal dan sarung bantal (tilam disediakan)
3. Cadar
4. Kasut dan pakaian sukan
5. Kasut dan pakaian formal
6. Kelengkapan solat/sejadah 
7. Baldi, sabun dan sebagainya"
senarai keperluan peribadi,"Baik. Persiapan Keperluan Peribadi Siswa/Siswi adalah seperti berikut :
1. Duit Saku yang mencukupi (membeli keperluan harian, peralatan kuliah dan buku)
2. Bantal dan sarung bantal (tilam disediakan)
3. Cadar
4. Kasut dan pakaian sukan
5. Kasut dan pakaian formal
6. Kelengkapan solat/sejadah 
7. Baldi, sabun dan sebagainya"
apa yang perlu saya lakukan untuk melapor diri,"Pelajar harus melapor diri pada tarikh, masa dan di kampus yang dinyatakan dalam surat tawaran"
bila saya harus melapor diri,"Pelajar harus melapor diri pada tarikh, masa dan di kampus yang dinyatakan dalam surat tawaran"
terima kasih,Sama-sama! Saya gembira dapat membantu anda.
bye,"Baik! Selamat tinggal, jumpa lagi nanti ya!"
selamat tinggal,"Baik! Selamat tinggal, jumpa lagi nanti ya!"
